Stores Sale Code,Stores Normalized Activity,Stores Has Theme (Yes / No),Stores Opens At Month Name,Stores Days Open,User Built By Omg (Yes / No),Stores Products Offered Sum,Products Count Products,Products Count Brands,Orders Count Orders,Transactions Net Units
Y4GMF,Wrestling,Yes,February,5,No,4,4,1,15,49
ZWTB2,Football,No,August,21,No,19,8,3,7,17
YYAWT,Spirit Wear,No,November,24,No,11,8,5,12,30
ZGMUS,Soccer,No,July,3,No,36,6,3,1,6
XXEHC,Soccer,No,September,12,No,33,19,6,41,257
ZP534,Corporate,No,October,39,No,9,3,1,4,11
Y55DS,Other,No,November,14,No,10,7,4,12,25
ZYDFA,Volleyball,No,August,14,No,14,12,4,18,49
XKYZX,Baseball,Yes,February,17,No,23,14,11,21,101
XZUTS,Tennis,No,February,23,No,28,19,9,39,122
XSJ3Z,Track & Field,No,January,5,No,10,5,1,7,15
Y7XG8,Hockey,Yes,January,14,No,3,2,1,47,64
Y2XRA,Corporate,No,April,20,No,12,10,8,50,94
YT2WX,Basketball,No,October,35,No,16,4,2,4,4
XW849,Basketball,No,December,12,No,2,2,2,29,57
YVPEJ,Booster Club,No,May,8,No,1,1,1,5,12
XNZY6,Wrestling,No,September,21,Yes,8,7,2,14,38
Y6PKN,Basketball,No,November,19,No,16,15,5,18,63
ZHVCT,Apparel,No,September,8,No,21,6,2,7,8
ZN4EX,Band Music & Choir,No,October,14,No,6,6,4,10,27
XERJC,Basketball,Yes,October,10,Yes,19,17,2,32,192
Y8ECJ,Baseball,No,November,21,No,29,23,3,20,69
YDFK9,School,No,November,30,No,16,9,2,18,29
Z2EQ6,Track & Field,No,October,26,Yes,9,8,1,28,62
YJXTS,Volleyball,No,November,8,No,36,31,2,110,1322
YQ7SY,Other,No,January,16,No,22,10,3,5,11
Y4THE,Baseball,No,January,37,No,22,10,1,10,42
XMPX7,Apparel,No,July,72,Yes,3,2,1,112,116
Y3NY6,Spirit Wear,No,November,18,No,14,11,8,15,24
ZVSWT,Basketball,No,January,11,No,21,12,5,11,24
YFJD7,Basketball,No,October,18,No,22,15,2,23,61
ZHZUY,Other,Yes,February,12,No,7,6,2,16,43
ZGHMA,Wrestling,No,November,22,No,36,12,6,8,31
XEXB4,Apparel,No,July,15,No,1,1,1,1,1
Y4W53,Lacrosse,No,August,40,No,2,2,2,29,53
XTBBY,Soccer,No,August,10,No,15,9,6,10,29
Z63FY,Spirit Wear,No,November,12,Yes,9,9,2,24,50
XS36H,Basketball,No,October,7,No,10,2,1,1,2
ZNWEA,Apparel,No,November,18,No,13,9,1,16,28
ZQ73B,School,No,October,61,No,4,4,2,42,86
Z778W,Wrestling,Yes,February,6,No,13,11,2,27,69
XW7GE,Baseball,Yes,February,28,No,52,20,10,13,43
XXS2S,Track & Field,No,February,34,No,77,39,11,96,264
ZPT5S,Wrestling,No,November,11,No,18,14,1,10,37
ZSP5X,Swimming,Yes,October,42,No,32,15,3,17,69
Y73F5,Medical,No,September,26,No,43,16,4,15,23
ZSX3N,Basketball,No,February,0,No,4,2,1,21,81
YZ9BP,Other,No,November,18,No,31,18,13,16,38
ZHNH9,Swimming,No,May,1,No,14,1,1,3,4
Y87V8,Baseball,No,August,7,No,30,14,3,11,41
ZRBWP,Softball,No,May,11,No,11,8,5,20,79
Y3VWF,Athletics,No,April,25,No,26,22,5,128,1318
XMU28,School,No,September,14,No,9,6,3,9,23
ZSUPS,Other,Yes,January,18,No,1,1,1,4,5
XTWJQ,Apparel,No,December,52,No,11,10,4,14,27
YJX2E,Other,No,August,12,Yes,56,29,9,21,86
XKEEE,Spirit Wear,No,November,24,No,17,15,6,29,117
ZG9EZ,Spirit Wear,No,April,7,No,25,14,1,13,31
ZJYAS,Volleyball,No,May,82,No,27,15,2,24,159
XY9BH,Corporate,No,April,12,No,18,17,6,29,79
Y85QS,Soccer,No,July,7,No,41,34,11,267,1003
ZJB75,Other,No,October,30,No,2,1,1,38,40
Z8CE7,Spirit Wear,No,November,15,No,38,10,7,10,22
YBA3W,Baseball,No,July,15,No,3,3,1,59,167
Y4J65,Baseball,No,November,17,No,34,13,2,7,19
XWZ3W,Apparel,No,May,8,No,2,2,2,11,24
Y9PHU,Other,No,April,15,No,8,8,8,40,62
YT8H3,Soccer,No,August,190,No,13,2,2,10,14
